model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,144,relu,0.01,mean_squared_error at,288,72,505.0,1.837,1.320,0.01985
LSTM,2,144,sigmoid,0.01,mean_absolute_error at,144,288,211.8,1.806,1.206,0.02603
LSTM,2,144,relu,0.01,mean_absolute_error at,144,288,281.0,1.792,1.244,0.01994
LSTM,1,288,relu,0.01,mean_squared_error at,288,288,371.9,1.748,1.157,0.01807
LSTM,1,56,tanh,0.0001,mean_absolute_error at,900,36,1575.9,4.520,1.099,0.01774
LSTM,2,36,sigmoid,0.01,mean_absolute_error at,144,288,125.0,2.992,1.294,0.02277
LSTM,2,36,relu,0.01,mean_absolute_error at,144,288,175.1,3.705,1.140,0.02112
LSTM,1,144,relu,0.0001,mean_squared_error at,288,72,420.9,2.112,1.218,0.02400
LSTM,2,144,sigmoid,0.001,mean_absolute_error at,144,288,227.9,3.601,1.369,0.03579
LSTM,1,144,relu,0.01,mean_squared_error at,216,144,262.4,1.916,1.197,0.01987
LSTM,2,36,relu,0.01,mean_absolute_error at,144,288,166.8,1.711,1.152,0.02522
LSTM,1,48,tanh,0.0001,mean_absolute_error at,600,36,890.7,3.839,1.095,0.01806
LSTM,2,144,sigmoid,0.01,mean_absolute_error at,144,288,214.9,2.224,1.891,0.04086
LSTM,1,144,sigmoid,0.01,mean_squared_error at,288,72,391.7,2.382,2.026,0.04183
LSTM,2,144,relu,0.01,mean_absolute_error at,144,288,215.2,1.698,1.135,0.01831
LSTM,2,36,relu,0.01,mean_absolute_error at,144,288,178.1,1.739,1.081,0.02009
LSTM,2,288,sigmoid,0.001,logcosh at,144,144,677.4,4.397,1.207,0.02425
LSTM,1,24,tanh,0.0001,mean_absolute_error at,800,36,1355.1,4.894,1.120,0.01845
LSTM,2,144,relu,0.01,mean_absolute_error at,144,288,257.6,4.492,1.171,0.02047
LSTM,1,288,tanh,0.001,mean_squared_error at,288,36,1232.4,2.587,1.201,0.02274
LSTM,2,36,sigmoid,0.0001,mean_absolute_error at,144,144,196.0,3.623,1.155,0.01973
LSTM,1,64,tanh,0.0001,mean_absolute_error at,200,36,341.5,1.666,1.130,0.01777
LSTM,2,288,relu,0.01,mean_absolute_error at,144,288,524.0,2.281,1.262,0.01940
LSTM,1,32,tanh,0.0001,mean_absolute_error at,300,36,623.8,4.301,1.155,0.01810
LSTM,1,288,relu,0.01,mean_squared_error at,216,36,938.1,1.772,1.130,0.02143
LSTM,2,144,tanh,0.001,mean_absolute_error at,144,144,300.2,2.480,1.151,0.01869
LSTM,1,8,tanh,0.0001,mean_absolute_error at,100,36,171.4,3.197,1.272,0.02040
